cases
80
539
3732
14376
26445
30789
28523
30090
27592
25045
22728
22336
20491
21143
20616
25274
36515
48795
55521
65447
66331
62137
52586
52563
43050
41070
40602
33978
39866
44078
42502
47896
54678
66569
79432
113761
143764
169443
162250
189103
209953
211702
186208
