Week,Anger_max,Anger_med,Anger_avg,Anger_total,Sad_max,Sad_median,Sad_avg,Sad_total,Fear_max,Fear_med,Fear_avg,Fear_total,Joy_max,Joy_med,Joy_avg,Joy_total,Analy_max,Analy_med,Analy_avg,Analy_total,Confi_max,Confi_med,Confi_avg,Confi_total,Tenta_max,Tenta_med,Tenta_avg,Tenta_total
09.-20-09.-26,0.5,0.5,0.5,0.5,0.587324,0.53374,0.5542254999999999,3.325353,0.507147,0.5,0.507147,0.507147,0.566198,0.534303,0.54196225,4.335698,0.833147,0.644361,0.6851050000000001,6.165945000000001,0.5,0.5,0.5,0.5,0.662399,0.5,0.6158115,2.463246
09.-27-10.-03,0.571969,0.5,0.571969,0.571969,0.5834159999999999,0.5287999999999999,0.5577873333333333,3.3467239999999996,0.601083,0.5,0.594526,1.189052,0.562638,0.5,0.54333725,2.173349,0.898293,0.6440745,0.7169045000000001,5.7352360000000004,0.5,0.5,0.5,0.5,0.6424350000000001,0.5,0.6424350000000001,0.6424350000000001
10.-04-10.-10,0.5,0.5,0.5,0.5,0.6008720000000001,0.5786445,0.5719473333333333,5.147525999999999,0.5,0.5,0.5,0.5,0.588233,0.5294675,0.5465697142857144,3.825988000000001,0.839307,0.7058070000000001,0.7156844,7.156844,0.5,0.5,0.5,0.5,0.79494,0.5,0.7029163333333334,2.108749
10.-11-10.-17,0.5,0.5,0.5,0.5,0.6034729999999999,0.5358065000000001,0.5547631249999999,4.438104999999999,0.665716,0.5,0.665716,0.665716,0.582642,0.5,0.5478329999999999,1.6434989999999998,0.750253,0.5905475,0.6130456666666666,5.517410999999999,0.5,0.5,0.5,0.5,0.718611,0.5170395,0.6242158,3.121079
10.-18-10.-24,0.592105,0.5,0.592105,0.592105,0.660571,0.5622780000000001,0.6018684285714285,4.213079,0.5,0.5,0.5,0.5,0.565683,0.5,0.54609,1.09218,0.826263,0.5989575,0.6443554999999999,5.154843999999999,0.5,0.5,0.5,0.5,0.804395,0.5,0.6432655,2.573062
10.-25-10.-31,0.571701,0.5,0.571701,0.571701,0.618492,0.5352695000000001,0.5583865714285715,3.9087060000000005,0.5,0.5,0.5,0.5,0.677901,0.5120005,0.5537664999999999,3.322599,0.7768510000000001,0.5966905,0.628826625,5.030613,0.5,0.5,0.5,0.5,0.8185319999999999,0.5239155,0.6643638,3.3218189999999996
11.-01-11.-07,0.5,0.5,0.5,0.5,0.6188939999999999,0.5902974999999999,0.5820084444444444,5.238076,0.5,0.5,0.5,0.5,0.589649,0.5,0.5551429999999999,2.2205719999999998,0.720205,0.6366695,0.6350066,6.350066,0.5,0.5,0.5,0.5,0.787141,0.5,0.690975,2.7639
11.-08-11.-14,0.5,0.5,0.5,0.5,0.60632,0.516157,0.5505293333333333,3.3031759999999997,0.5,0.5,0.5,0.5,0.55379,0.52485,0.5369231428571428,3.7584619999999997,0.762645,0.616557,0.6797105714285714,4.757974,0.5,0.5,0.5,0.5,0.83636,0.5,0.7268413333333333,2.180524
11.-15-11.-21,0.5,0.5,0.5,0.5,0.682897,0.517289,0.5509232857142857,3.856463,0.661429,0.5,0.6074005,1.214801,0.599879,0.5142955,0.5637364,2.8186820000000004,0.822485,0.7096374999999999,0.6924194444444445,6.231775,0.5,0.5,0.5,0.5,0.698156,0.5,0.630115,1.890345
11.-22-11.-28,0.5,0.5,0.5,0.5,0.6471210000000001,0.5544225,0.567786111111111,5.110074999999999,0.585517,0.5,0.5777049999999999,1.1554099999999998,0.589591,0.5,0.5372276666666665,1.6116829999999998,0.839391,0.6641859999999999,0.6835507,6.835507,0.5,0.5,0.5,0.5,0.740189,0.5,0.6781975,1.356395
11.-29-12.-05,0.5,0.5,0.5,0.5,0.6168140000000001,0.514424,0.5496456666666666,3.2978739999999993,0.5,0.5,0.5,0.5,0.602837,0.5437085,0.5512555555555555,4.9613,0.849701,0.7219715,0.6903862,6.903861999999999,0.5,0.5,0.5,0.5,0.753007,0.5,0.6826439999999999,2.047932
12.-06-12.-12,0.5,0.5,0.5,0.5,0.56777,0.5430090000000001,0.5426708,5.426708,0.5,0.5,0.5,0.5,0.581372,0.5,0.5510873333333333,1.6532619999999998,0.7152930000000001,0.6616835,0.6386902,6.386902,0.5,0.5,0.5,0.5,0.674064,0.5,0.6711765000000001,1.3423530000000001
12.-13-12.-19,0.5,0.5,0.5,0.5,0.6092069999999999,0.5478995,0.559225125,4.473801,0.5800850000000001,0.5,0.5800850000000001,0.5800850000000001,0.604236,0.539222,0.5596356666666666,3.357814,0.711259,0.629252,0.6437637000000002,6.437637000000001,0.5,0.5,0.5,0.5,0.816937,0.5,0.65552725,2.622109
12.-20-12.-26,0.545722,0.5,0.545722,0.545722,0.674075,0.5575405,0.586188875,4.689511,0.536328,0.5,0.5184420000000001,1.0368840000000001,0.5887479999999999,0.5077625,0.5406718333333332,3.2440309999999997,0.772888,0.67835,0.6683806666666666,6.015426,0.5,0.5,0.5,0.5,0.867051,0.5,0.867051,0.867051
