Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
10.-18-10.-24,0.5,0.5,0.5,0.6521279999999999,0.5976170000000001,0.6021150000000001,0.55352,0.5,0.550277,0.5731850000000001,0.508536,0.5390802,0.83036,0.6483705,0.671977111111111,0.5,0.5,0.5,0.6346229999999999,0.5,0.5936815
10.-25-10.-31,0.5,0.5,0.5,0.582088,0.5494479999999999,0.557594875,0.509488,0.5,0.509488,0.573042,0.545736,0.5496242222222223,0.8852760000000001,0.66646,0.6948886666666666,0.5,0.5,0.5,0.802463,0.5224679999999999,0.6791574
11.-01-11.-07,0.5,0.5,0.5,0.614282,0.562101,0.5597524999999999,0.6128819999999999,0.5,0.5866804999999999,0.609205,0.5256799999999999,0.536445111111111,0.793651,0.7070875000000001,0.6919002,0.5,0.5,0.5,0.78468,0.5,0.7008135
11.-08-11.-14,0.518927,0.5,0.518927,0.608106,0.5628359999999999,0.5604781,0.547452,0.5,0.547452,0.56085,0.5014125,0.5267160000000001,0.874218,0.601864,0.6457661,0.5,0.5,0.5,0.765591,0.571331,0.645598
11.-15-11.-21,0.5,0.5,0.5,0.609771,0.5384635,0.5519042222222222,0.5920880000000001,0.5,0.5920880000000001,0.605587,0.5147115,0.5726832,0.800323,0.671325,0.6864428888888888,0.5,0.5,0.5,0.752426,0.582718,0.6411098571428572
11.-22-11.-28,0.5,0.5,0.5,0.591813,0.5562715,0.55863975,0.502663,0.5,0.502663,0.5810810000000001,0.5085219999999999,0.5427135,0.8491139999999999,0.6630510000000001,0.6723557999999998,0.5,0.5,0.5,0.822996,0.55445,0.6904446
11.-29-12.-05,0.546089,0.5,0.546089,0.581212,0.5409955,0.542136,0.5,0.5,0.5,0.604596,0.5498270000000001,0.562783375,0.807272,0.6405755,0.67636225,0.5,0.5,0.5,0.788716,0.5623785,0.6674021666666666
12.-06-12.-12,0.5,0.5,0.5,0.6220859999999999,0.5968035,0.5794577000000001,0.540309,0.5,0.524983,0.624931,0.5478215,0.561292875,0.625314,0.5490394999999999,0.5756964285714287,0.5,0.5,0.5,0.769382,0.547836,0.6393851666666667
12.-13-12.-19,0.5,0.5,0.5,0.584976,0.5355570000000001,0.5467793750000001,0.56213,0.5,0.5431269999999999,0.584662,0.5156895,0.540972857142857,0.8086770000000001,0.7333780000000001,0.7288951000000001,0.5,0.5,0.5,0.7234430000000001,0.537971,0.6500812
12.-20-12.-26,0.5,0.5,0.5,0.6301640000000001,0.5213215,0.5651353333333332,0.62975,0.5,0.586139,0.605879,0.5334585000000001,0.5625118571428571,0.795568,0.663585,0.6819927777777777,0.5,0.5,0.5,0.756706,0.5,0.7058115
