Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
03.-01-03.-07,0.585208,0.5,0.585208,0.576904,0.5,0.5526486666666667,0.714274,0.5,0.6325645,0.57711,0.5258285,0.5451211666666668,0.717259,0.5495645,0.609236,0.5,0.5,0.5,0.845147,0.7031385,0.7666942000000001
03.-08-03.-14,0.5,0.5,0.5,0.605159,0.559882,0.5618654444444444,0.603693,0.5,0.603693,0.5978319999999999,0.5115555,0.5617006,0.863936,0.701109,0.710064,0.5,0.5,0.5,0.803822,0.54657,0.6901109999999999
03.-15-03.-21,0.5,0.5,0.5,0.5897060000000001,0.5476449999999999,0.553829875,0.519403,0.5,0.5161125,0.543089,0.5,0.5320016666666666,0.9070239999999999,0.719986,0.7213696666666666,0.5,0.5,0.5,0.647245,0.5,0.647245
03.-22-03.-28,0.567915,0.5,0.567915,0.610111,0.5787305,0.5782297777777777,0.5,0.5,0.5,0.583763,0.5,0.5380385000000001,0.845152,0.7267334999999999,0.7345915,0.5,0.5,0.5,0.6985210000000001,0.5,0.6534712500000001
03.-29-04.-04,0.5,0.5,0.5,0.580308,0.5291239999999999,0.5371395,0.6149020000000001,0.5,0.5819953333333333,0.556917,0.5023575,0.524389,0.8375440000000001,0.640156,0.6763015,0.5,0.5,0.5,0.678649,0.5,0.678649
04.-05-04.-11,0.5,0.5,0.5,0.622276,0.5480115000000001,0.5819421666666668,0.675958,0.5,0.6533899999999999,0.584229,0.5,0.5570365,0.832076,0.6419554999999999,0.6875267142857143,0.5,0.5,0.5,0.772835,0.5,0.712843
04.-12-04.-18,0.5,0.5,0.5,0.604564,0.5387014999999999,0.5647475714285715,0.5,0.5,0.5,0.606707,0.5135875000000001,0.5424016666666667,0.74715,0.6133645000000001,0.6219813,0.5,0.5,0.5,0.647228,0.5,0.647228
04.-19-04.-25,0.5,0.5,0.5,0.634568,0.5,0.56315375,0.624742,0.5,0.624742,0.64135,0.5,0.5683963333333333,0.818912,0.6615575,0.6487816666666667,0.5,0.5,0.5,0.910438,0.5,0.6786589999999999
04.-26-05.-02,0.5,0.5,0.5,0.678955,0.5786365,0.594025,0.572004,0.5,0.5446887499999999,0.564553,0.5228440000000001,0.5358032857142857,0.8233469999999999,0.6394124999999999,0.6795081249999999,0.5,0.5,0.5,0.6164930000000001,0.5,0.6164930000000001
05.-03-05.-09,0.5,0.5,0.5,0.668636,0.5570925,0.569474,0.515229,0.5,0.515229,0.5267029999999999,0.5,0.51812275,0.9220780000000001,0.7019770000000001,0.7403486666666667,0.5,0.5,0.5,0.801309,0.6351595000000001,0.6816585714285716
05.-10-05.-16,0.6436689999999999,0.5,0.6436689999999999,0.645207,0.5771255,0.5787994444444444,0.594474,0.5,0.5592109999999999,0.574872,0.5,0.5499985000000001,0.805926,0.659729,0.69128,0.5,0.5,0.5,0.810102,0.5,0.6858345
05.-17-05.-23,0.5,0.5,0.5,0.579122,0.534581,0.556158,0.578434,0.5,0.578434,0.616555,0.5029965000000001,0.550574,0.8002239999999999,0.654446,0.680898875,0.5,0.5,0.5,0.757741,0.5,0.6506689999999999
05.-24-05.-30,0.581418,0.5,0.581418,0.629654,0.5684745,0.5876697142857142,0.675403,0.5,0.6080793333333334,0.556948,0.5,0.5487985,0.8235020000000001,0.661138,0.6623243,0.5,0.5,0.5,0.730754,0.519601,0.6366196000000001
05.-31-06.-06,0.5,0.5,0.5,0.653467,0.555632,0.5855395714285715,0.57003,0.5,0.57003,0.685802,0.5,0.585747,0.735785,0.6721145,0.6764332222222222,0.5,0.5,0.5,0.7024060000000001,0.5,0.6976715
06.-07-06.-13,0.510167,0.5,0.510167,0.6926,0.579644,0.5814926666666667,0.5,0.5,0.5,0.55156,0.5,0.5280273333333334,0.873619,0.7274214999999999,0.74398425,0.5,0.5,0.5,0.707643,0.5,0.6247867500000001
06.-14-06.-20,0.504827,0.5,0.504827,0.599759,0.5475464999999999,0.563155875,0.5,0.5,0.5,0.54569,0.5,0.5303423333333334,0.776065,0.6197980000000001,0.6631972499999998,0.5,0.5,0.5,0.7255050000000001,0.5,0.57342125
06.-21-06.-27,0.638407,0.5,0.638407,0.601312,0.5335354999999999,0.5586612857142857,0.512145,0.5,0.512145,0.5969399999999999,0.5311785,0.5554501666666667,0.852147,0.6398945,0.6566615,0.5,0.5,0.5,0.672095,0.5,0.64458825
06.-28-07.-04,0.544929,0.5,0.544929,0.592324,0.5304715,0.5687661666666667,0.529446,0.5,0.529446,0.5981850000000001,0.5,0.58023275,0.8037,0.6474785,0.6594467777777777,0.5,0.5,0.5,0.592442,0.5,0.552019
07.-05-07.-11,0.5926600000000001,0.5,0.5592060000000001,0.639299,0.5391189999999999,0.5625963749999999,0.61769,0.5,0.61769,0.5890270000000001,0.5113685,0.5641002,0.8594350000000001,0.6689185,0.6679932000000001,0.5,0.5,0.5,0.746145,0.5,0.6953816666666667
07.-12-07.-18,0.5,0.5,0.5,0.607825,0.5305139999999999,0.5570911428571428,0.5,0.5,0.5,0.651744,0.5471029999999999,0.5786803333333332,0.827941,0.6866445,0.6846646000000001,0.5,0.5,0.5,0.535546,0.5,0.535546
07.-19-07.-25,0.5,0.5,0.5,0.648369,0.5741805,0.5720102222222222,0.536025,0.5,0.536025,0.564222,0.5132445,0.5363388333333333,0.786957,0.681513,0.6887635999999999,0.5,0.5,0.5,0.663829,0.5,0.5947555
07.-26-08.-01,0.546053,0.5,0.546053,0.5711609999999999,0.538562,0.5462486249999999,0.5,0.5,0.5,0.565396,0.5326615,0.5412177142857143,0.733643,0.6172515000000001,0.6390690000000001,0.5,0.5,0.5,0.79537,0.5,0.68704425
08.-02-08.-08,0.5,0.5,0.5,0.588114,0.5117164999999999,0.5471471666666666,0.528997,0.5,0.528997,0.585991,0.512023,0.5467017999999999,0.866942,0.698255,0.726935,0.5,0.5,0.5,0.806014,0.5,0.6217113333333334
08.-09-08.-15,0.5,0.5,0.5,0.625097,0.529048,0.5555115714285714,0.5,0.5,0.5,0.585477,0.5,0.5307263333333333,0.798098,0.75559,0.7263782857142858,0.5,0.5,0.5,0.6051989999999999,0.5,0.6051989999999999
08.-16-08.-22,0.528949,0.5,0.528949,0.61074,0.527088,0.5509617142857143,0.5137619999999999,0.5,0.511192,0.5597340000000001,0.5250779999999999,0.5343316666666666,0.776397,0.688712,0.6873437142857144,0.5,0.5,0.5,0.794569,0.5,0.6562606666666667
08.-23-08.-29,0.52185,0.5,0.52185,0.609646,0.5482715,0.5636803333333333,0.556968,0.5,0.556968,0.559582,0.5,0.54237475,0.77244,0.659817,0.6423165000000001,0.5,0.5,0.5,0.663484,0.5,0.609911
08.-30-09.-05,0.5,0.5,0.5,0.5939180000000001,0.501926,0.5455343333333333,0.520019,0.5,0.520019,0.561427,0.510078,0.531224,0.780379,0.6746655,0.6661257777777778,0.5,0.5,0.5,0.752991,0.5,0.6446686666666667
09.-06-09.-12,0.5,0.5,0.5,0.6330479999999999,0.547289,0.570617625,0.595534,0.5,0.5659595,0.5868329999999999,0.5086995,0.5313306666666667,0.777389,0.6220935000000001,0.697475,0.5,0.5,0.5,0.73239,0.501692,0.6438322000000001
09.-13-09.-19,0.601316,0.5,0.601316,0.619412,0.5466825,0.5641046249999999,0.595076,0.5,0.595076,0.6183960000000001,0.5,0.5446482500000001,0.748686,0.6533114999999999,0.6565993999999999,0.5,0.5,0.5,0.690512,0.5,0.633216
09.-20-09.-26,0.5,0.5,0.5,0.587324,0.53374,0.5542254999999999,0.507147,0.5,0.507147,0.566198,0.534303,0.54196225,0.833147,0.644361,0.6851050000000001,0.5,0.5,0.5,0.662399,0.5,0.6158115
