cases
26
122
565
1726
3739
5101
5032
4880
4840
4714
3557
2855
2068
1714
1307
1260
960
711
577
610
656
751
826
1086
1022
1164
1630
3001
3598
5560
7248
15832
16371
21227
22521
22826
24702
21289
16153
14400
17855
24751
36232
