Week,Anger_max,Anger_med,Anger_avg,Anger_total,Anger_ratio,Sad_max,Sad_median,Sad_avg,Sad_total,Sad_ratio,Fear_max,Fear_med,Fear_avg,Fear_total,Fear_ratio,Joy_max,Joy_med,Joy_avg,Joy_total,Joy_ratio,Analy_max,Analy_med,Analy_avg,Analy_total,Analy_ratio,Confi_max,Confi_med,Confi_avg,Confi_total,Confi_ratio,Tenta_max,Tenta_med,Tenta_avg,Tenta_total,Tenta_ratio
03.01-03.07,0.5059279999999999,0.5,0.5059279999999999,0.5059279999999999,0.1,0.564583,0.516969,0.52867375,4.22939,0.8,0.5,0.5,0.5,0.5,0.0,0.609579,0.543031,0.5586325,4.46906,0.8,0.626115,0.508715,0.5716653333333332,3.4299919999999995,0.6,0.5,0.5,0.5,0.5,0.0,0.7595189999999999,0.5250330000000001,0.6263254285714285,4.384277999999999,0.7
03.08-03.14,0.576801,0.5,0.576801,0.576801,0.02857142857142857,0.575096,0.52791,0.53774,14.518979999999999,0.7714285714285715,0.608105,0.5,0.5615575,4.49246,0.22857142857142856,0.569964,0.5,0.5341491764705883,9.080536000000002,0.4857142857142857,0.740268,0.507726,0.6091567368421053,11.573978,0.5428571428571428,0.5,0.5,0.5,0.5,0.0,0.8022279999999999,0.5311739999999999,0.6144673157894737,11.674879,0.5428571428571428
03.15-03.21,0.531675,0.5,0.531675,0.531675,0.0196078431372549,0.579006,0.513596,0.53737075,17.195864,0.6274509803921569,0.648115,0.5,0.548307,3.2898419999999997,0.11764705882352941,0.588975,0.507998,0.5353525,16.060575,0.5882352941176471,0.75562,0.597454,0.6202038684210527,23.567747,0.7450980392156863,0.5,0.5,0.5,0.5,0.0,0.804341,0.5,0.6249214545454543,13.748271999999996,0.43137254901960786
03.22-03.28,0.5,0.5,0.5,0.5,0.0,0.603669,0.5374979999999999,0.5430611666666668,13.033468000000003,0.8888888888888888,0.623202,0.5,0.5642093333333333,1.692628,0.1111111111111111,0.574782,0.5,0.5493086,5.493086000000001,0.37037037037037035,0.835736,0.556886,0.5886924545454545,12.951234,0.8148148148148148,0.5,0.5,0.5,0.5,0.0,0.783261,0.551046,0.6259677222222222,11.267419,0.6666666666666666
03.29-04.04,0.5,0.5,0.5,0.5,0.0,0.613038,0.5412405,0.549617304347826,12.641197999999997,0.8214285714285714,0.560235,0.5,0.5517363333333333,1.655209,0.10714285714285714,0.569937,0.5150885000000001,0.5280335,10.56067,0.7142857142857143,0.77163,0.564148,0.6137243333333333,11.047038,0.6428571428571429,0.5,0.5,0.5,0.5,0.0,0.799128,0.5134544999999999,0.6247959333333333,9.371939,0.5357142857142857
04.05-04.11,0.5,0.5,0.5,0.5,0.0,0.598122,0.537201,0.5387551388888888,19.395184999999998,0.9230769230769231,0.5981529999999999,0.5,0.5468613999999999,2.734307,0.1282051282051282,0.600733,0.500642,0.540461,10.80922,0.5128205128205128,0.780555,0.548255,0.6017623333333334,16.247583000000002,0.6923076923076923,0.5,0.5,0.5,0.5,0.0,0.7457729999999999,0.5,0.6091500000000001,10.355550000000001,0.4358974358974359
04.12-04.18,0.5392859999999999,0.5,0.5392859999999999,0.5392859999999999,0.03225806451612903,0.589258,0.523492,0.5338186,13.345465,0.8064516129032258,0.566605,0.5,0.5262233333333334,1.57867,0.0967741935483871,0.606243,0.505017,0.5437731176470589,9.244143000000001,0.5483870967741935,0.790301,0.532792,0.6181435263157894,11.744727,0.6129032258064516,0.5,0.5,0.5,0.5,0.0,0.7602909999999999,0.5,0.63653975,7.638477,0.3870967741935484
04.19-04.25,0.5,0.5,0.5,0.5,0.0,0.620452,0.5262849999999999,0.540874590909091,11.899241,0.7857142857142857,0.5175810000000001,0.5,0.5175810000000001,0.5175810000000001,0.03571428571428571,0.5938869999999999,0.5,0.5332976363636365,5.866274000000001,0.39285714285714285,0.736259,0.5693360000000001,0.6229334500000001,12.458669000000002,0.7142857142857143,0.5,0.5,0.5,0.5,0.0,0.769419,0.5,0.6666725833333332,8.000070999999998,0.42857142857142855
04.26-05.02,0.5,0.5,0.5,0.5,0.0,0.596004,0.5305195,0.5476393125,8.762229,0.8,0.509868,0.5,0.509868,0.509868,0.05,0.6024149999999999,0.5008945,0.5381771,5.381771,0.5,0.7769689999999999,0.6423479999999999,0.6548433333333333,11.78718,0.9,0.5,0.5,0.5,0.5,0.0,0.683833,0.5,0.5987921111111112,5.3891290000000005,0.45
05.03-05.09,0.5,0.5,0.5,0.5,0.0,0.698444,0.5431755,0.561021125,8.976338,0.7272727272727273,0.563753,0.5,0.563753,0.563753,0.045454545454545456,0.594424,0.500011,0.548567,6.034237,0.5,0.793481,0.610819,0.6209157368421053,11.797399,0.8636363636363636,0.5,0.5,0.5,0.5,0.0,0.7888850000000001,0.5,0.6232998999999999,6.2329989999999995,0.45454545454545453
